Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set
1995-06-01,964.81,141.66,54.17759,22.4,54.42,2.47,232646.0,0.0151310483870967,0.3209005269040396,0.0951360846045746,0.25,0.5051650800081022,0.4672686230248308,0.1239323600036474,-1.3615044784884842,0.5547853692344566,-1.063594578199399,-0.8609133980240152,-0.4236631905753917,1.3043939382683998,-0.6482623348314832,Low,Low,High,Train
1995-07-01,968.93,132.71,114.4236,21.8,53.44,2.47,232646.0,0.0165154569892472,0.2923199744531375,0.2179353262611899,0.1136363636363633,0.4853149686044158,0.4672686230248308,0.1239323600036474,-1.3573103444214736,0.3614446757686239,-0.2517649197432389,-1.5297036369574353,-0.5141422858435383,1.3043939382683998,-0.6482623348314832,Medium,Low,High,Train
1995-08-01,970.03,141.7,25.01608,22.1,58.85,2.47,232646.0,0.0168850806451613,0.3210282612166693,0.0356962758344701,0.1818181818181825,0.5948956856390524,0.4672686230248308,0.1239323600036474,-1.3561905513453298,0.55564946171922,-1.4565530281177572,-1.1953085174907232,-0.0146607497204047,1.3043939382683998,-0.6482623348314832,Low,Low,High,Train
1995-09-01,977.7,124.76,173.7997,22.4,62.58,2.47,232646.0,0.0194623655913978,0.2669327798179786,0.3389614332602651,0.25,0.6704476402673689,0.4672686230248308,0.1239323600036474,-1.348382539623492,0.1897062944218782,0.5483424895849279,-0.8609133980240152,0.3297137659430489,1.3043939382683998,-0.6482623348314832,High,Low,High,Train
1995-10-01,1043.38,120.02,245.805,23.0,69.81,2.47,232646.0,0.0415322580645161,0.2517962637713555,0.4857295965835637,0.3863636363636367,0.8168928499088519,0.4672686230248308,0.1239323600036474,-1.2815207130406627,0.0873113349774033,1.5186314449204492,-0.1921231590905912,0.997227907564168,1.3043939382683998,-0.6482623348314832,High,Medium,High,Train
1995-11-01,1028.3,117.99,148.1049,23.0,72.17,2.47,232646.0,0.0364650537634408,0.2453137474053967,0.2865878079443579,0.3863636363636367,0.8646951590034437,0.4672686230248308,0.1239323600036474,-1.296872058120886,0.0434586413756556,0.2020988012792731,-0.1921231590905912,1.2151163410670505,1.3043939382683998,-0.6482623348314832,Medium,Medium,High,Train
1995-12-01,1023.25,99.57,73.80991,23.1,67.36,2.47,232646.0,0.0347681451612903,0.186492096439406,0.135152577115199,0.4090909090909091,0.7672675713996355,0.4672686230248308,0.1239323600036474,-1.302012926334091,-0.354455947857936,-0.799044284490288,-0.0806581192683526,0.7710301693938025,1.3043939382683998,-0.6482623348314832,Low,Medium,High,Train
1996-01-01,1017.72,100.33,162.7694,23.2,72.83,1.53,345734.0,0.0329099462365591,0.1889190483793709,0.3164784094841683,0.4318181818181816,0.8780636013773548,0.255079006772009,0.2876161721134821,-1.3076424315259765,-0.3380381906474294,0.3997065105106457,0.030806920553882,1.276051241961924,0.0037199859109977,0.336914923934784,High,Medium,Medium,Train
1996-02-01,1022.37,110.5,163.683,24.1,71.49,1.53,345734.0,0.0344724462365591,0.2213954973654797,0.318340597323288,0.6363636363636367,0.8509216123151713,0.255079006772009,0.2876161721134821,-1.3029087607950058,-0.1183426763963095,0.4120174930299122,1.033992278954018,1.1523349280238464,0.0037199859109977,0.336914923934784,High,High,Medium,Train
1996-03-01,1016.6,105.89,214.612,24.3,70.16,1.53,345734.0,0.0325336021505376,0.2066741178349034,0.4221490085081907,0.6818181818181825,0.8239821754101684,0.255079006772009,0.2876161721134821,-1.308782584476232,-0.2179293352653029,1.0982981724560483,1.2569223585984914,1.029541870159934,0.0037199859109977,0.336914923934784,High,High,Medium,Train
1996-04-01,1013.56,107.09,164.9203,23.1,76.31,1.53,345734.0,0.0315120967741935,0.2105061472137953,0.3208625817949855,0.4090909090909091,0.94855175207616,0.255079006772009,0.2876161721134821,-1.3118772853412106,-0.1920065607223978,0.4286904118905605,-0.0806581192683526,1.5973443557712597,0.0037199859109977,0.336914923934784,High,Medium,Medium,Train
1996-05-01,1018.0,110.24,171.7828,22.6,67.15,1.53,345734.0,0.0330040322580645,0.2205652243333865,0.3348503927034345,0.2954545454545458,0.7630139760988459,0.255079006772009,0.2876161721134821,-1.3073573932884126,-0.1239592775472724,0.5211642708424714,-0.6379833183795379,0.7516417918363433,0.0037199859109977,0.336914923934784,High,Low,Medium,Train
1996-06-01,1041.36,105.79,111.9152,22.3,55.51,1.53,345734.0,0.0408534946236558,0.2063547820533291,0.2128224628902969,0.2272727272727275,0.5272432651407739,0.255079006772009,0.2876161721134821,-1.2835770603259449,-0.2200895664772115,-0.2855662206969689,-0.97237843784625,-0.3230282784914337,0.0037199859109977,0.336914923934784,Medium,Low,Medium,Train
1996-07-01,1055.44,99.97,86.97577,21.5,50.08,1.53,345734.0,0.0455846774193548,0.1877694395657033,0.1619885057311715,0.0454545454545449,0.4172574437917764,0.255079006772009,0.2876161721134821,-1.2692437089513064,-0.3458150230103009,-0.6216311142723496,-1.8640987564241476,-0.8243563267628963,0.0037199859109977,0.336914923934784,Low,Low,Medium,Train
1996-08-01,1067.44,102.73,106.0924,21.7,58.94,1.53,345734.0,0.049616935483871,0.1965831071371547,0.200953869031249,0.0909090909090908,0.5967186550536765,0.255079006772009,0.2876161721134821,-1.2570277844842852,-0.2861926415616193,-0.3640298689163038,-1.641168676779674,-0.0063514450529223,0.0037199859109977,0.336914923934784,Medium,Low,Medium,Train
1996-09-01,1074.97,96.52,198.1356,22.0,60.34,1.53,345734.0,0.0521471774193548,0.1767523551013891,0.3885652172292155,0.1590909090909091,0.625075957058943,0.255079006772009,0.2876161721134821,-1.2493622918812295,-0.4203429998211528,0.876274669412659,-1.306773557312962,0.122904405330144,0.0037199859109977,0.336914923934784,High,Low,Medium,Train
1996-10-01,1105.05,98.56,105.4201,23.0,68.45,1.53,345734.0,0.0622547043010752,0.1832668050455053,0.1995835221789721,0.3863636363636367,0.7893457565323074,0.255079006772009,0.2876161721134821,-1.2187410412172297,-0.3762742830982142,-0.3730892751637892,-0.1921231590905912,0.8716650814777613,0.0037199859109977,0.336914923934784,Medium,Medium,Medium,Train
1996-11-01,1081.48,97.14,275.6524,22.4,69.98,1.53,345734.0,0.0543346774193548,0.1787322369471499,0.5465674526577113,0.25,0.8203362365809199,0.255079006772009,0.2876161721134821,-1.2427351528578705,-0.4069495663073185,1.920832429646316,-0.8609133980240152,1.0129232608249692,0.0037199859109977,0.336914923934784,High,Low,Medium,Train
1996-12-01,1030.35,90.04,90.37079,22.7,74.24,1.53,345734.0,0.0371538978494623,0.1560593964553728,0.168908563696986,0.3181818181818183,0.9066234555398016,0.255079006772009,0.2876161721134821,-1.294785171024437,-0.5603259823528396,-0.5758823928706861,-0.5265182785573033,1.4062303484191545,0.0037199859109977,0.336914923934784,Low,Low,Medium,Train
1997-01-01,1044.85,100.03,149.746,23.1,70.13,1.27,353093.0,0.0420262096774193,0.1879610410346479,0.2899328566120236,0.4090909090909091,0.8233745189386268,0.1963882618510158,0.2982676043902602,-1.2800242622934528,-0.3445188842831556,0.2242130234907096,-0.0806581192683526,1.0267721019374396,-0.3560408945282837,0.4010235777907277,High,Medium,Medium,Train
