Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set,Robusta_Kiboko_Price
2005-12-01,1816.13452380952,86.85,27.09867,22.8,65.03,0.89,208741.0,0.3011941882612023,0.1458740780995026,0.0399412120996543,0.3409090909090908,0.7200729187765853,0.1106094808126411,0.0893322120791497,-0.4948612274215893,-0.6292364562808701,-1.4284897939869727,-0.4150532387350646,0.5559115041134145,-0.8818452582472334,-0.8565130985801358,Low,Medium,Low,Train,1000.0
2006-01-01,1819.12125,101.2,71.19775,23.8,71.02,1.23,166860.0,0.3021977929178525,0.1916992317931949,0.1298282200816669,0.5681818181818183,0.8414016609276891,0.1873589164785553,0.0287135634606227,-0.4918207590392562,-0.3192424950653521,-0.8342439399318243,0.699597159487306,1.108941892538103,-0.4113887222881732,-1.2213635581725777,Low,High,Low,Train,1000.0
2006-02-01,1815.84157894737,97.39,119.5442,24.5,68.11,1.23,166860.0,0.3010957524458495,0.179532413983232,0.2283726281974819,0.7272727272727275,0.7824589831881712,0.1873589164785553,0.0287135634606227,-0.4951594434395066,-0.4015475119455698,-0.1827637396468177,1.4798524382429648,0.8402743749561593,-0.4113887222881732,-1.2213635581725777,Medium,High,Low,Train,900.0
2006-03-01,1820.94328947366,92.76,135.1831,24.8,65.32,1.23,166860.0,0.3028100376245131,0.164747015962201,0.2602493460140417,0.7954545454545459,0.7259469313348188,0.1873589164785553,0.0287135634606227,-0.4899659343724742,-0.501566469466674,0.0279742505104158,1.8142475577096768,0.5826859302641917,-0.4113887222881732,-1.2213635581725777,Medium,High,Low,Train,675.0
2006-04-01,1827.48111111111,94.2,173.0334,24.0,70.88,1.23,166860.0,0.3050068872254601,0.1693454982840768,0.3373994865208634,0.6136363636363642,0.8385659307271625,0.1873589164785553,0.0287135634606227,-0.4833104732721695,-0.4704590615119462,0.5380162706555887,0.9225272391317796,1.0960163074997964,-0.4113887222881732,-1.2213635581725777,High,High,Low,Train,700.0
2006-05-01,1836.3419047619,90.0,144.4257,23.5,64.05,1.23,166860.0,0.3079843057105875,0.1559332581786058,0.2790885068304249,0.5,0.7002228073728987,0.1873589164785553,0.0287135634606227,-0.4742902413461637,-0.5611890013799027,0.1525205387933034,0.3652020400205941,0.465432408845268,-0.4113887222881732,-1.2213635581725777,Medium,Medium,Low,Train,700.0
2006-06-01,1859.94928571429,86.04,53.71326,22.1,53.29,1.23,166860.0,0.3159168967631767,0.1432874317934476,0.094189642311078,0.1818181818181825,0.4822766862467087,0.1873589164785553,0.0287135634606227,-0.4502580767626735,-0.6467343732554044,-1.0698517052813217,-1.1953085174907232,-0.5279911269560095,-0.4113887222881732,-1.2213635581725777,Low,Low,Low,Train,850.0
2006-07-01,1857.71642857143,88.57,87.06343,22.2,47.28,1.23,166860.0,0.3151666084262839,0.1513667097617431,0.1621671828173987,0.2045454545454541,0.3605428397812438,0.1873589164785553,0.0287135634606227,-0.4525311112198568,-0.5920803856682785,-0.6204500339871724,-1.0838434776684889,-1.0828680275290277,-0.4113887222881732,-1.2213635581725777,Low,Low,Low,Train,700.0
2006-08-01,1847.73967391304,95.78,104.8186,22.6,55.79,1.23,166860.0,0.3118142028842787,0.1743910552761348,0.1983574867310403,0.2954545454545458,0.5329147255418272,0.1873589164785553,0.0287135634606227,-0.4626873843974308,-0.4363273222282864,-0.3811947896477359,-0.6379833183795379,-0.2971771084148203,-0.4113887222881732,-1.2213635581725777,Medium,Low,Low,Train,850.0
2006-09-01,1854.67666666667,95.98,80.47618,23.0,55.99,1.23,166860.0,0.3141451826215184,0.1750297333763954,0.1487404130677914,0.3863636363636367,0.5369657686854368,0.1873589164785553,0.0287135634606227,-0.4556255696240798,-0.4320068489012408,-0.7092148336638272,-0.1921231590905912,-0.278711986931525,-0.4113887222881732,-1.2213635581725777,Low,Medium,Low,Train,850.0
